  0.00000000E+00  0.38367672E+01  0.74262530E-02
  0.56166137E-02  0.38368311E+01  0.74240768E-02
  0.11233227E-01  0.38370201E+01  0.74175185E-02
  0.16849841E-01  0.38373342E+01  0.74066025E-02
  0.22466455E-01  0.38377732E+01  0.73913692E-02
  0.28083068E-01  0.38383370E+01  0.73718741E-02
  0.33699682E-01  0.38390252E+01  0.73481880E-02
  0.39316296E-01  0.38398375E+01  0.73203956E-02
  0.44932909E-01  0.38407735E+01  0.72885952E-02
  0.50549523E-01  0.38418329E+01  0.72528971E-02
  0.56166137E-01  0.38430151E+01  0.72134234E-02
  0.61782750E-01  0.38443195E+01  0.71703059E-02
  0.67399364E-01  0.38457457E+01  0.71236859E-02
  0.73015978E-01  0.38472928E+01  0.70737122E-02
  0.78632591E-01  0.38489602E+01  0.70205404E-02
  0.84249205E-01  0.38507471E+01  0.69643315E-02
  0.89865819E-01  0.38526525E+01  0.69052507E-02
  0.95482432E-01  0.38546757E+01  0.68434667E-02
  0.10109905E+00  0.38568157E+01  0.67791500E-02
  0.10671566E+00  0.38590714E+01  0.67124725E-02
  0.11233227E+00  0.38614418E+01  0.66436061E-02
  0.11794889E+00  0.38639257E+01  0.65727227E-02
  0.12356550E+00  0.38665221E+01  0.64999927E-02
  0.12918211E+00  0.38692296E+01  0.64255849E-02
  0.13479873E+00  0.38720470E+01  0.63496656E-02
  0.14041534E+00  0.38749732E+01  0.62723989E-02
  0.14603196E+00  0.38780066E+01  0.61939458E-02
  0.15164857E+00  0.38811461E+01  0.61144641E-02
  0.15726518E+00  0.38843903E+01  0.60341083E-02
  0.16288180E+00  0.38877378E+01  0.59530296E-02
  0.16849841E+00  0.38911872E+01  0.58713758E-02
  0.17411502E+00  0.38947371E+01  0.57892911E-02
  0.17973164E+00  0.38983861E+01  0.57069164E-02
  0.18534825E+00  0.39021328E+01  0.56243889E-02
  0.19096486E+00  0.39059758E+01  0.55418426E-02
  0.19658148E+00  0.39099138E+01  0.54594077E-02
  0.20219809E+00  0.39139452E+01  0.53772111E-02
  0.20781471E+00  0.39180688E+01  0.52953756E-02
  0.21343132E+00  0.39222831E+01  0.52140207E-02
  0.21904793E+00  0.39265867E+01  0.51332615E-02
  0.22466455E+00  0.39309783E+01  0.50532089E-02
  0.23028116E+00  0.39354565E+01  0.49739696E-02
  0.23589777E+00  0.39400199E+01  0.48956454E-02
  0.24151439E+00  0.39446671E+01  0.48183329E-02
  0.24713100E+00  0.39493968E+01  0.47421236E-02
  0.25274761E+00  0.39542076E+01  0.46671034E-02
  0.25836423E+00  0.39590981E+01  0.45933522E-02
  0.26398084E+00  0.39640670E+01  0.45209437E-02
  0.26959746E+00  0.39691127E+01  0.44499456E-02
  0.27521407E+00  0.39742339E+01  0.43804188E-02
  0.28083068E+00  0.39794292E+01  0.43124179E-02
  0.28644730E+00  0.39846971E+01  0.42459909E-02
  0.29206391E+00  0.39900361E+01  0.41811794E-02
  0.29768052E+00  0.39954449E+01  0.41180187E-02
  0.30329714E+00  0.40009217E+01  0.40565382E-02
  0.30891375E+00  0.40064653E+01  0.39967616E-02
  0.31453036E+00  0.40120739E+01  0.39387072E-02
  0.32014698E+00  0.40177460E+01  0.38823889E-02
  0.32576359E+00  0.40234801E+01  0.38278162E-02
  0.33138021E+00  0.40292745E+01  0.37749953E-02
  0.33699682E+00  0.40351277E+01  0.37239295E-02
  0.34261343E+00  0.40410379E+01  0.36746205E-02
  0.34823005E+00  0.40470035E+01  0.36270685E-02
